"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset","selection_rationale"
"8005110550508","Cherrytomaten 400 g","1540 Vestby, Norwegen, Oluf Lorentzen AS, Toveien 22, Mutti","Australia, France, Germany, New Zealand, Spain, en:united-kingdom","Dosentomaten, Frucht- und gemüsebasierte Lebensmittel, Gemüse, Gemüsebasierte Lebensmittel, Gemüsekonserven, Konserven, Konserven-Produkte auf pflanzlicher Basis, Pflanzliche Lebensmittel, Pflanzliche Lebensmittel und Getränke, Tomaten, Tomaten und Tomatenprodukte, en:canned-tomatoes","Cherry tomatoes 
55%, tomato juice
.","1","a","a-plus","28.0","3.4","2.5e-05","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"5060054134033","brilliant beetroot","cawston press","Australia, France, en:united-kingdom","Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Aliments et boissons à base de légumes, Boissons aux fruits, Jus et nectars, Boissons aux légumes, Jus de légumes, Jus de fruits, Jus de fruits pur jus","90% JUS DE BETTERAVE PRESSE, 10% JUS DE POMME PRESSÉ, ANTIOXYDANT: VITAMINE C (ACIDE ASCORBIQUE) RÉFRIGERER","1","c","e","39.0","8.1","0.0875","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"5034660021445","Bournville Cocoa","Cadbury","France,United Kingdom,United States","Beverages and beverages preparations,Beverages,Breakfasts,Cocoa and its products,Hot beverages,Beverage preparations,Cocoa and chocolate powders,Instant beverages,Cocoa powders,Instant chocolate powders","Cocoa powder, acidity regulator (sodium carbonate).","1","unknown","b","355.0","0.0","1.75","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0689544083016","Total 0% Yougart","FAGE","United States, World","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","grade A pasteurized skimmed milk, live active yogurt cultures (L. bulgaricus, S. thermophilus, L. acidophilus, bifidus, L. casei)","1","a","b","52.9","2.94","0.0956","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0030000012000","Quick 1-Minute Oats","Quaker Oats","Canada,France,United States, World","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats","whole grain rolled oats,","1","a","b","","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"5010029219494","Super smooth porridge imp","Ready break, Weetabix","France, United Kingdom, United States, en:ireland","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Porridge","wholegrain rolled oats (60%), wholegrain oat flour (38%), calcium, niacin, iron, riboflavin (b2), vitamin b6, thiamin (b1), folic acid, vitamin d, vitamin b12,","1","unknown","e","374.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"6111242101180","uht jaouda 1L","Jaouda","Democratic Republic of the Congo,Mauritania,Morocco,United States","Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT","Lait entier","1","b","d","58.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0034000052004","COCOA","HERSHEY'S","Morocco, Spain, United States, Germany","Cocoa and its products,Cocoa and chocolate powders,Cocoa powders","cocoa","1","unknown","f","","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0898999000503","Coconut Water The Original","Vita Coco","Belgium, France, United Kingdom, United States, World, en:germany","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based beverages, Coconut waters","Coconut Water 99%, Vitamin C","1","b","d","13.0","2.2","0.06","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0030000010204","OLD FASHIONED","QUAKER OATS","France,Germany,United States, World","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Rolled oats","whole grain rolled oats.","1","a","b","375.0","2.5","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0034361704642","Skyr nature","Danone","United States, en:france","Dairies,Desserts,Dairy desserts,Plain skyrs","Lait écrémé, ferments lactiques (lait).","1","unknown","b","57.0","3.90000009536743","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0051500017005","Natural Creamy Peanut Butter","Smucker's","France,United States,World","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Legume butters,Nut butters,Peanut butters","PEANUTS, CONTAINS 1% OR LESS OF SALT.","1","c","d","594.0","6.25","0.859","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0894700010137","Greek Yogurt Nonfat Plain","Chobani","United States","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","_cultured nonfat milk_, S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, L. Casei, L. Rhamnosus","1","a","b","52.9","3.53","0.0956","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"7610900299072","Onken","natural set yogurt","United States, en:united-kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Cow milk yogurts, Natural-yogurt","Yogurt (MILK), Vitamin D. Contains live cultures: Lactobacillus Bulgaricus, Streptococcus Thermophilus, and Bifidobacterium.","1","b","b","64.0","4.7","0.1375","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0096619483556","organic GREEK YOGURT plain","KIRKLAND Signature","Mexico,Spain,United States,Francia","Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","organic pasteurized grade a nonfat milk, live and active cultures (streptococcus thermophilus, lactobacillus bulgaricus, lactobacillus acidophilus, bifidus, lactobacillus casei).","1","a","b","58.8","2.35","0.0956","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"5036589255550","Yoghurt","Yeo Valley","United States, en:united-kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Plain yogurts, Cow milk yogurts","milk","1","b","a-plus","72.0","4.9","0.12","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0073420000110","Sour Cream","Daisy","United States","Dairies, Fermented foods, Fermented milk products, Creams, Fermented creams, Sour creams, en:spreadable-fats","CULTURED CREAM.","1","d","b","200.0","3.33","0.125","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0096619885718","Extra Fancy Unsalted Mixed Nuts","Kirkland Signature","Canada,United States","Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Unsalted-mixed-nuts","Cashews, Almonds, Pistachios, Pecans, Highly refined peanut oil. May contain: Peanuts, Other tree nuts, Milk, Sesame, Soy, Wheat, Mustard, Sulfites.","1","d","unknown","600.0","7.05","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0078742040370","Purified Drinking Water","Great Value,Wal-Mart Stores Inc.","United States","Beverages,Waters,Unsweetened beverages,Drinking water","PURIFIED WATER, CALCIUM CHLORIDE SODIUM BICARBONATE.","1","b","not-applicable","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"3068320014067","Evian 75cl PET","Evian","Australia,France,Morocco,Spain,Sweden,Switzerland,United Kingdom,Cambodia","Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters, en:unsweetened-beverages","water","1","a","not-applicable","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0096619756803","Water, Bottled","Kirkland Signature","United States,","Beverages, Waters, Unsweetened beverages","Purified Water, Potassium Bicarbonate, Sodium Bicarbonate, Calcium Citrate, Sodium Chloride, Magnesium Oxide","1","unknown","not-applicable","0.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"8997212610412","Organic Coconut Milk","Kara","France,Singapore","Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Plant-based creams, Plant-based creams for cooking, Coconut milks and creams","organic coconut milk","1","e","a-plus","178.0","1.8","0.04","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0884912180599","Shredded Wheat'n Bran","Post Consumer Brands, Post","United States, World","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","Whole Grain Wheat,Wheat Bran,BHT","1","a","e","350.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0078742051451","Purified Water","Member's Mark","Spain,United States","Beverages,Waters,Unsweetened beverages","PURIFIED WATER, CALCIUM CHLORIDE, SODIUM BICARBONATE.","1","b","not-applicable","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0030000010402","Old Fashioned Oats","Quaker Oats","United States,World","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Seeds,Cereals and their products,Breakfast cereals,Cereal grains,Flakes,Cereal flakes,Rolled flakes,Rolled oats","whole grain rolled oats,","1","a","b","375.0","2.5","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"00282123","Authentic Greek Yoghurt","Taste The Difference","United Kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Plain yogurts, Greek-style yogurts, Plain greek-style yogurts","Natural Greek Yogurt (Cows' _Milk_)","1","c","b","137.0","3.2","0.107","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"4088600248752","Bite size wheat shreds","Harvest Morn, Aldi","en:gb","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Whole grain wheat cereal biscuits, Extruded cereals","whole grain wheat (100%)","1","a","e","367.0","0.667","0.0333","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5060069170033","Agave Nectar","the-groovy-food-company","United Kingdom","Plant-based foods and beverages, Plant-based foods, Sweeteners, Syrups, Simple syrups, Agave syrups","100% Organic Agave Nectar.","1","d","c","298.0","66.11","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5000169647561","Chickpeas in water","Essential Waitrose,Waitrose","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Chickpeas, Canned legumes, Canned chickpeas","Chickpeas, water, antioxidant (ascorbic acid)","1","a","a","118.0","0.6","0.04","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"4056489825623","Scottish Porridge Oats","Crownfield","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Scottish porridge oats, en:porridge","wholegrain rolled oats","1","a","e","386.0","0.8","7.5e-05","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"00436151","Tahini","By sainsbury's","United Kingdom","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Spreads,Cereals and their products,Plant-based spreads,Oilseed purees,Cereal butters,Tahini","Sesame Seed (100%).","1","d","d","664.0","1.3","0.02","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5060132284308","Peanut Butter","Meridian","Spain, United Kingdom, en:ireland","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, en:nut-butters","Roasted Peanuts","1","unknown","c","596.0","5.9","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5057753910822","Organic chickpeas in water","Tesco","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Chickpeas, Canned legumes, Canned chickpeas","Organic Chickpeas, Water.","1","a","a","115.0","0.4","0.1","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5036589255598","Organic Natural Yoghurt","Yeo Valley","United Kingdom","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts","Organic Milk, bifidobacterium live culture","1","b","a","72.0","4.9","0.117","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5051140350352","Wholewheat Penne","Tesco","France,United Kingdom","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Cereal pastas,Dry pastas,Durum wheat pasta,Durum wheat penne,Penne","Durum Wholewheat Semolina","1","a","unknown","145.0","0.7","0.02","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5060238480345","Organic cacao nibs","Naturya","en:gb","Snacks, Cacao Nibs","100% Organic Cacao Nibs","1","d","unknown","633.0","0.7","0.02","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"7613287170989","shredded wheat","Nestlé","en:gb","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","whole grain wheat (100%)","1","a","d","367.0","0.7","0.05","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"4056489462828","Simply porridge oats","Lidl","en:gb","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Porridge, Rolled oats","wholegrain rolled oats","1","a","a","368.0","1.0","0.025","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"3274080005003","Eau De Source","Cristaline","Belgium,Côte d'Ivoire,France,Germany,Guadeloupe,Italy,Luxembourg,Mali,Martinique,New Caledonia,Switzerland,United Kingdom","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","Eau de source","1","a","not-applicable","0.0","0.0","0.0525","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"4056489458647","Cannellini Beans in Water","Freshona","United Kingdom","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Seeds,Canned plant-based foods,Legume seeds,Pulses,Common beans,Canned legumes,White beans,Canned common beans,Beans,Cannellini Beans","Cannellini Beans, Water","1","a","a","62.0","0.3","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5000232005915","Tuna","Princes","United Kingdom","Seafood,Fishes and their products,Canned foods,Fishes,Fatty fishes,Canned fishes,Tunas,Canned tunas","tuna [fish], spring water.","1","a","d","99.0","0.0","0.835","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5056215600233","Whole Chestnuts","Merchant Gourmet","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Whole chestnuts, en:chestnuts","Chestnuts","1","a","d","170.0","9.5","0.02","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5060490010496","Fresh Root Ginger 7x Shots","MOJU","en:gb","Juice","Apple, Ginger Root (25%), Lemon, Antioxidant: Ascorbic Acid (PER 100ml) NUTRITION/VITAMINS Energy 83kJ/","1","a","unknown","47.0","8.6","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5070000206868","Tempeh Organic","Better Nature","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Meat alternatives, Tempeh","_Soya_ beans, water, tempeh culture (rice flour, inoculum).","1","a","a-plus","173.0","0.1","0.01","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"4056489126669","Apfelsaft aus Apfelsaftkonzentrat","Naturis","Belgium, France, Germany, en:united-kingdom","Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Fruits et produits dérivés, Boissons à base de végétaux, Boissons aux fruits, Fruits, Jus et nectars, Pommes, Jus de fruits, Boissons sans alcool, Boissons sans sucre ajouté, Jus de pomme, Jus de fruits à base de concentré, Jus de pomme à base de concentré","100% jus de pomme à base de concentré.","1","c","c","44.0","10.0","0.01","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"5010338300876","Natural Tahini","Al’fez","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Spreads, Cereals and their products, Plant-based spreads, Oilseed purees, Cereal butters, Tahini, 100% sesame seed paste","Roasted ground sesame seeds","1","d","c","663.0","0.7","0.305","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"20942021","Mixed Beans","Lidl","en:gb","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Common beans, en:canned-common-beans","60% Mixed Beans in Varying Proportions (Cannellini Beans, Haricot Beans, Adzuki Beans), Water, Ascorbic Acid, Calcium Chloride","1","a","b","103.0","0.5","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"29210053","Crafted Signature Sourdough Bread","Marks & Spencer","en:gb","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sourdough-loaf","Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate Iron, Niacin, Thiamin) Water Rye Flour (contains Gluten) Wholegrain Wheatflour (contains Gluten) Malted Rye (contains Gluten) Sea Salt Malted Wheat (contains Gluten) Barley Malt Flour (contains Gluten) Barley Malt Extract (contains Gluten) Wheatflakes (contains Gluten).","1","unknown","unknown","226.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"4061461867041","Crunchy 100% Peanut Butter","Grandessa","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, Crunchy peanut butters, en:nut-butters","ROASTED PEANUTS (100%)","1","a","d","634.0","4.6","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"00852166","Greek Style Yogurt Unsweetened","M&S Food","France,United Kingdom","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts,Greek-style yogurts","lait fermenté (Contient lait)","1","c","b","124.0","4.8","0.2","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable UK product used to complete level balance; verify familiarity and classification"
"0074305001161","APPLE CIDER VINEGAR","BRAGG","France,India,United States,World","Condiments,Sauces,Vinegars,Cider vinegars,Groceries","ORGANIC APPLE CIDER VINEGAR, WATER.","2","not-applicable","a","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","India-listed product; verify familiarity and classification"
