code,display_name,brands,nova_group,ingredients_text,game_ready,review_status
5.03466E+12,Bournville Cocoa,Cadbury,1,"Cocoa powder, acidity regulator (sodium carbonate).",TRUE,approved
30000012000,Quick 1-Minute Oats,Quaker Oats,1,"whole grain rolled oats,",TRUE,approved
5.01003E+12,Super smooth porridge imp,"Ready break, Weetabix",1,"wholegrain rolled oats (60%), wholegrain oat flour (38%), calcium, niacin, iron, riboflavin (b2), vitamin b6, thiamin (b1), folic acid, vitamin d, vitamin b12,",TRUE,approved
34000052004,COCOA,HERSHEY'S,1,cocoa,TRUE,approved
8.98999E+11,Coconut Water The Original,Vita Coco,1,"Coconut Water 99%, Vitamin C",TRUE,approved
30000010204,OLD FASHIONED,QUAKER OATS,1,whole grain rolled oats.,TRUE,approved
51500017005,Natural Creamy Peanut Butter,Smucker's,1,"PEANUTS, CONTAINS 1% OR LESS OF SALT.",TRUE,approved
8.947E+11,Greek Yogurt Nonfat Plain,Chobani,1,"_cultured nonfat milk_, S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, L. Casei, L. Rhamnosus",TRUE,approved
96619483556,organic GREEK YOGURT plain,KIRKLAND Signature,1,"organic pasteurized grade a nonfat milk, live and active cultures (streptococcus thermophilus, lactobacillus bulgaricus, lactobacillus acidophilus, bifidus, lactobacillus casei).",TRUE,approved
96619885718,Extra Fancy Unsalted Mixed Nuts,Kirkland Signature,1,"Cashews, Almonds, Pistachios, Pecans, Highly refined peanut oil. May contain: Peanuts, Other tree nuts, Milk, Sesame, Soy, Wheat, Mustard, Sulfites.",TRUE,approved
78742040370,Purified Drinking Water,"Great Value,Wal-Mart Stores Inc.",1,"PURIFIED WATER, CALCIUM CHLORIDE SODIUM BICARBONATE.",TRUE,approved
96619756803,"Water, Bottled",Kirkland Signature,1,"Purified Water, Potassium Bicarbonate, Sodium Bicarbonate, Calcium Citrate, Sodium Chloride, Magnesium Oxide",TRUE,approved
78742051451,Purified Water,Member's Mark,1,"PURIFIED WATER, CALCIUM CHLORIDE, SODIUM BICARBONATE.",TRUE,approved
30000010402,Old Fashioned Oats,Quaker Oats,1,"whole grain rolled oats,",TRUE,approved
8.99721E+12,Organic Coconut Milk,Kara,1,organic coconut milk,TRUE,approved
5.05932E+12,Plain Wheats,Kellogg's,1,Wholewheat(100%).,TRUE,approved
282123,Authentic Greek Yoghurt,Taste The Difference,1,Natural Greek Yogurt (Cows' _Milk_),TRUE,approved
5.00017E+12,Chickpeas in water,"Essential Waitrose,Waitrose",1,"Chickpeas, water, antioxidant (ascorbic acid)",TRUE,approved
4.05649E+12,Scottish Porridge Oats,Crownfield,1,wholegrain rolled oats,TRUE,approved
5.06013E+12,Peanut Butter,Meridian,1,Roasted Peanuts,TRUE,approved
5.05775E+12,Organic chickpeas in water,Tesco,1,"Organic Chickpeas, Water.",TRUE,approved
5.03659E+12,Organic Natural Yoghurt,Yeo Valley,1,"Organic Milk, bifidobacterium live culture",TRUE,approved
5.00023E+12,Tuna,Princes,1,"tuna [fish], spring water.",TRUE,approved
20942021,Mixed Beans,Lidl,1,"60% Mixed Beans in Varying Proportions (Cannellini Beans, Haricot Beans, Adzuki Beans), Water, Ascorbic Acid, Calcium Chloride",TRUE,approved
29210053,Crafted Signature Sourdough Bread,Marks & Spencer,1,"Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate Iron, Niacin, Thiamin) Water Rye Flour (contains Gluten) Wholegrain Wheatflour (contains Gluten) Malted Rye (contains Gluten) Sea Salt Malted Wheat (contains Gluten) Barley Malt Flour (contains Gluten) Barley Malt Extract (contains Gluten) Wheatflakes (contains Gluten).",TRUE,approved
4.06146E+12,Crunchy 100% Peanut Butter,Grandessa,1,ROASTED PEANUTS (100%),TRUE,approved
852166,Greek Style Yogurt Unsweetened,M&S Food,1,lait fermenté (Contient lait),TRUE,approved
8.71053E+12,100% peanut butter smooth,Millies,1,_Peanuts_ 100%.,TRUE,approved
5.0998E+12,Flahavans Microwave Quick Porridge Oats,Flahavan's,1,100% Wholegrain Rolled _Oats_,TRUE,approved
4.0886E+12,Tomato Passata,Cucina,1,"TOMATOES (99%), Acidity Regulator: Citric Acid.",TRUE,approved
5.00012E+12,Italian Tomato Passata,Tesco,1,"Tomato, Acidity Regulator (Citric Acid).",TRUE,approved
5.20105E+12,Fage Total 0% Yogurt,Fage,1,"Pasteurised skimmed milk, cultures (L. Bulgaricus, S. Thermophilus, L.Acidophilus, Bifidus, L. Casei)",TRUE,approved
1.96634E+11,Spring Water,Kirkland,1,"Calcium, Magnesium, Sodium, Potassium, Bicarbonates, Sulphates, Chlorides, Nitrates",TRUE,approved
5.449E+12,Smart Water,smartwater,1,"Vapour Distilled Spring Water, Electrolytes (Calcium Chloride, Magnesium Chloride, Potassium Bicarbonate)",TRUE,approved
1898811,Greek Style Yogurt,Sainsbury's,1,Fat Free Greek Style Natural Yogurt (Cows' Milk),TRUE,approved
5.05755E+12,Porridge Oats,Tesco - The Grower's Harvest,1,oat flakes,TRUE,approved
20448554,Strong Wholemeal Bread Flour,Belbake,1,Wholemeal Wheat Flour.,TRUE,approved
7.61304E+12,GOLD BLEND Instant Coffee,Nescafé,1,"soluble coffee, roast and ground coffee (3%)",TRUE,approved
1642605,Chickpeas in water,Sainsbury's,1,"Organic Chickpeas, Water.",TRUE,approved
5.00044E+12,Lasagne Pasta,Tesco,1,Durum Wheat Semolina,TRUE,approved
378208,PORRIDGE OATS,"Daily's,STAMFORD STREET CO.",1,Wholegrain Oat Flakes,TRUE,approved
5.00011E+12,Oat so Simple,"Quaker, Quaker Oats",1,Wholegrain rolled oats,TRUE,approved
5.05427E+12,Cocoa Powder,Tesco,1,"cocoa powder, potassium carbonate",TRUE,approved
74305001161,APPLE CIDER VINEGAR,BRAGG,2,"ORGANIC APPLE CIDER VINEGAR, WATER.",TRUE,approved
8.90109E+12,Parachnute 100% Pure Coconut Oil,Parachute,2,Coconut Oil,TRUE,approved
6.19151E+12,Extra Virgin Olive Oil,Terra Delyssa,2,First Cold Pressed Extra Virgin Olive Oil,TRUE,approved
37600106740,Peanut Butter Spread,Skippy Natural Creamy,2,"ROASTED PEANUTS, SUGAR, PALM OIL, SALT.",TRUE,approved
96619555505,Organic Creamy Peanut Butter,Kirkland,2,"Dry roasted organic peanuts, sea salt",TRUE,approved
7.67707E+11,Pure Irish Butter Salted,Kerrygold,2,"Pasteurized cream, salt.",TRUE,approved
74305001321,Apple Cider Vinegar,Bragg,2,"Certified Organic, Raw Apple Cider Vinegar and Purified Water",TRUE,approved
96619032938,Raw & Unfiltered Honey,Kirkland Signature,2,organic raw honey,TRUE,approved
5.01184E+12,Smooth Peanut Butter imp,Whole earth,2,"roasted peanuts (96%), sustainable palm oil, sea salt",TRUE,approved
5.00016E+12,Light Mayonnaise,Heinz,2,"Water, Rapeseed Oil 25%, Starch, Pasteurised Free Range Egg 3.5%, Spirit Vinegar, Sugar, Salt, Pasteurised Free Range Egg Yolk 1%, Lemon Juice Concentrate, Preservative (Potassium Sorbate), Mustard Seeds, Spice, Antioxidant (Calcium Disodium EDTA)",TRUE,approved
